go	geh
ill get it	ich werde es holen
ill get up	ich werde aufstehen
ill go see	ich werde nachsehen
ill manage	ich werde klarkommen
ill manage	ich werde zurechtkommen
ill scream	ich werde schreien
ill use it	ich werde es verwenden
im too	ich bin auch siebzehn
im a baker	ich bin backer
im a child	ich bin ein kind
im a klutz	ich bin ein tollpatsch
im a loner	ich bin ein eigenbrotler
im a medic	ich bin arzt
im a nurse	ich bin eine krankenschwester
im a nurse	ich bin krankenpfleger
im a nurse	ich bin krankenschwester
im a vegan	ich bin veganer
im at home	ich bin zu hause
im careful	ich bin vorsichtig
im certain	ich bin mir sicher
im chicken	ich bin ein angsthase
im chicken	ich bin ein feigling
im curious	ich bin neugierig
im dancing	ich tanze
im dancing	ich tanze gerade
im dieting	ich bin auf diat
im fasting	ich faste
im finicky	ich bin pingelig
im healthy	ich bin bei guter gesundheit
im healthy	ich bin gesund
im humming	ich summe
im humming	ich summe gerade
im in debt	ich habe schulden
im in debt	ich bin verschuldet
im in here	ich bin hier drin
im in jail	ich bin im gefangnis
im in love	ich bin verliebt
im in pain	ich habe schmerzen
im injured	ich bin verletzt
im jealous	ich bin eifersuchtig
im leaving	ich gehe
im leaving	ich verschwinde
im married	ich bin verheiratet
im nervous	ich bin nervos
im no liar	ich bin kein lugner
im no liar	ich bin keine lugnerin
im not tom	ich bin nicht tom
im not fat	ich bin nicht dick
im not old	ich bin nicht alt
im not shy	ich bin nicht schuchtern
im not you	ich bin nicht du
im outside	ich bin drauen
im over it	ich bin daruber hinweg
im patient	ich bin geduldig
im popular	ich bin beliebt
im relaxed	ich bin entspannt
im resting	ich ruhe mich aus
im retired	ich bin in rente
im sad now	jetzt bin ich traurig
im selfish	ich bin selbstsuchtig
im serious	es ist mein ernst
im serious	ich meine es ernst
im shocked	ich bin erschrocken
im sincere	ich bin aufrichtig
im so cold	mir ist so kalt
im so full	ich bin so satt
im starved	ich sterbe vor hunger
im staying	ich bleibe
im staying	ich bleib
im stuffed	ich bin pappsatt
im stunned	ich bin fassungslos
im talking	ich spreche gerade
im the law	das gesetz bin ich
im the law	ich bin das gesetz
im thirsty	ich habe durst
im thirsty	ich bin durstig
im through	ich bin damit durch
im touched	ich bin geruhrt
im trapped	ich bin gefangen
im unarmed	ich bin unbewaffnet
im unhappy	ich bin unglucklich
im unlucky	ich habe pech
im unusual	ich bin ungewohnlich
im up here	ich bin hier oben
im useless	ich bin nutzlos
im useless	ich bin ein nichtsnutz
im wealthy	ich bin wohlhabend
im winning	ich gewinne
im winning	ich bin am gewinnen
im wounded	ich bin verletzt
ive failed	ich bin gescheitert
ive got it	ich habs
ive had it	ich bin bedient
ignore that	ignorier das
ignore them	ignoriere sie
ignore them	ignorieren sie sie
ignore them	ignoriert sie
is tom busy	hat tom viel zu tun
is tom good	ist tom brav
is tom here	ist tom hier
is tom next	ist tom als nachster dran
is tom sick	ist tom krank
is tom sure	ist tom sich sicher
is tom tall	ist tom gro
is tom well	geht es tom gut
is he right	hat er recht
is it toms	ist es toms
is it foggy	ist es neblig
is it legal	ist das legal
is it legal	ist das gesetzlich zugelassen
is it tasty	schmeckt es
is it tasty	schmeckts
is it there	ist es da
is it there	ist er da
is it there	ist sie da
is it to go	zum mitnehmen
is it white	ist es wei
is it windy	ist es windig
is it yours	ist es deins
is it yours	ist es ihres
is it yours	ist das deins
is it yours	ist das eures
is she gone	ist sie weg
is she nice	ist sie nett
is that tom	ist das tom
is that fun	macht das spa
is that new	ist das neu
is that you	wars das
is this tom	ist das tom
is this art	ist das kunst
is this new	ist das neu
it cant be	das ist nicht moglich
it cant be	das kann nicht sein
it happened	es ist passiert
it happened	es ist geschehen
it is foggy	es ist neblig
it is foggy	es ist nebel
it is on me	das geht auf mich
it may rain	vielleicht wird es regnen
it may rain	vielleicht regnet es
it may snow	vielleicht schneit es
it saved me	das hat mich gerettet
it was cold	es war kalt
it was dark	es war dunkel
it was real	es war real
itll be ok	es wird in ordnung gehen
itll break	es wird kaputt gehen
itll break	es wird brechen
its yen	das sind funfzig yen
its monday	es ist montag
its a fake	das ist eine falschung
its a fish	das ist ein fisch
its a joke	das ist ein witz
its a pity	es ist schade
its a rule	es ist eine regel
its boring	das ist langweilig
its broken	es ist kaputt
its cloudy	es ist bewolkt
its for me	es ist fur mich
its for us	es ist fur uns
its futile	es ist nutzlos
its locked	sie ist abgeschlossen
its locked	er ist abgeschlossen
its my job	es ist mein job
its my job	das ist meine arbeit
its no use	es hat keinen zweck
its no use	es bringt nichts
its poison	das ist gift
its secret	das ist geheim
its secret	es ist geheim
its simple	es ist einfach
its spring	es ist fruhling
its stupid	das ist blod
its urgent	es ist dringend
its urgent	es eilt
its urgent	es ist dringlich
jump across	spring druber
jump across	springen sie hinuber
just say no	sag einfach nein
just try it	versuchs doch einfach
just try it	versucht es doch einfach
just try it	versuchen sies doch einfach
keep moving	beweg dich weiter
keep moving	bewegen sie sich weiter
keep moving	bewegt euch weiter
keep trying	versuchs weiter
let me help	lass mich dir helfen
let me help	lassen sie mich ihnen helfen
let me know	lass es mich wissen
let me talk	lass mich sprechen
lets begin	lasst uns beginnen
lets begin	lassen sie uns anfangen
lets begin	lassen sie uns loslegen
lets begin	lasst uns loslegen
lets begin	lasst uns anfangen
lets begin	fangen wir an
lets begin	lasst uns anfangen
lets begin	lass uns anfangen
lets check	lasst uns nachprufen
lets dance	lass uns tanzen
lets do it	tun wirs
lets do it	lass es uns in angriff nehmen
lets go up	lass uns hochgehen
lets relax	entspannen wir uns
lets split	teilen wir uns auf
lets start	los gehts
lets start	fangen wir an
lets start	lasst uns anfangen
lets start	fangen wir an
lets study	lasst uns studieren
life is fun	das leben macht spa
look at tom	schau dir tom an
look at him	schaue ihn an
look closer	schau genauer hin
look closer	schaut genauer hin
look closer	schauen sie genauer hin
lunch is on	mittagessen ist fertig
make a list	mach eine liste
make a list	machen sie eine liste
make a list	macht eine liste
make a wish	wunsch dir was
many thanks	vielen dank
many thanks	danke sehr
may i begin	darf ich anfangen
may i smoke	darf ich rauchen
memorize it	prag es dir ein
memorize it	pragt es euch ein
memorize it	pragen sie es sich ein
money talks	geld regiert die welt
nice timing	gutes timing
no means no	nein heit nein
no one came	niemand kam
no one came	es kam keiner
no one left	niemand ist gegangen
nobody came	es ist niemand gekommen
nobody came	es kam niemand
nobody died	niemand ist gestorben
nobody knew	keiner wusste bescheid
nobody lied	niemand hat gelogen
now im mad	jetzt bin ich wutend
now im sad	jetzt bin ich traurig
now you try	jetzt versuchs du
ok you win	gut du hast gewonnen
ok i agree	gut ich bin einverstanden
ok i agree	okay ich bin einverstanden
oh come on	ach komm schon
pick a card	nimm eine karte
plants grow	pflanzen wachsen
please clap	bitte klatschen
please come	komm bitte
please come	kommt bitte
please come	kommen sie bitte
please sing	sing bitte
please stop	halten sie bitte an
please wait	bitte warten sie
put it back	stell es zuruck
put it down	leg es hin
put it down	legen sie es hin
put it down	legt es hin
release tom	lass tom frei
release tom	lassen sie tom frei
release tom	lasst tom frei
release him	lass ihn frei
remember it	merk es dir
return fire	schiet zuruck
return fire	schieen sie zuruck
say goodbye	verabschiede dich
say goodbye	verabschiedet euch
say goodbye	sag auf wiedersehen
say goodbye	sagt auf wiedersehen
say nothing	nichts sagen
send tom in	schick tom herein
send tom in	schicken sie tom herein
send tom in	schickt tom herein
shall we go	gehen wir
she bit him	sie hat ihn gebissen
she bit him	sie biss ihn
she blushed	sie wurde rot
she blushed	sie errotete
she blushed	sie lief rot an
she hit him	sie hat ihn geschlagen
she is curt	sie ist schroff
she is kind	sie ist nett
she is kind	sie ist freundlich
she is kind	sie ist liebenswurdig
she woke up	sie wachte auf
shes happy	sie ist glucklich
show him in	bring ihn herein
show him in	bringen sie ihn herein
sit with me	setz dich zu mir
stand aside	geh zur seite
stand aside	gehen sie zur seite
start again	fang noch einmal an
start again	beginnen sie noch einmal
step inside	geh rein
stop crying	hor auf zu weinen
stop moving	beweg dich nicht
stop trying	probier es nicht langer
stop trying	probiert es nicht langer
stop trying	probieren sie es nicht langer
stop thief	haltet den dieb
take a bite	bei mal rein
take a card	nimm eine karte
take a card	nehmen sie eine karte
take a look	schau mal
take a seat	setz dich
take a seat	setzen sie sich
take a seat	setz dich hin
take a walk	geh spazieren
take a walk	gehen sie spazieren
take a walk	geht spazieren
take action	handele
take action	handeln sie
take action	handelt
take my car	nimm meinen wagen
take my car	nehmen sie meinen wagen
take my car	nehmt meinen wagen
talk slower	rede langsamer
talk to tom	sprich mit tom
tea please	tee bitte
tell tom no	erteil tom eine absage
tell tom no	erteilen sie tom eine absage
tell tom no	erteilt tom eine absage
that helped	das hat geholfen
that is all	das ist alles
thats cool	das ist cool
thats cool	das ist geil
thats dumb	das ist blod
thats fine	das ist in ordnung
thats free	das ist gratis
thats hers	das gehort ihr
thats huge	das ist enorm
thats life	so ist das leben
thats milk	das ist milch
thats mine	das gehort mir
thats okay	das ist in ordnung
thats okay	das ist okay
thats over	das ist vorbei
thats true	das stimmt
thats wise	das ist klug
the tvs on	der fernseher ist an
there he is	da ist er
there it is	da ist es ja
there it is	da ist er ja
there it is	da ist sie ja
there it is	da ist er
there it is	da ist es
there it is	da ist sie
theres tom	dort ist tom
they burned	sie brannten
they burned	sie sind verbrannt
they called	sie riefen an
they called	sie haben angerufen
they called	sie kamen vorbei
they called	sie sind vorbeigekommen
they danced	sie tanzten
they did it	sie haben es geschafft
they hugged	sie umarmten sich
they hugged	sie druckten sich
they kissed	sie kussten sich
they may go	sie konnen gehen
they may go	die durfen gehen
they saw me	sie sahen mich
they saw me	die haben mich gesehen
they smiled	sie lachelten
they waited	sie warteten
they walked	sie gingen zu fu
theyre bad	sie sind schlecht
theyre new	sie sind neu
theyre old	sie sind alt
think again	denk noch mal nach
this is tom	dies ist tom
this is tom	das ist tom
this is tom	hier spricht tom
this is big	das ist gro
this is his	das ist seins
this is new	das ist neu
this stinks	das ist mist
tom ate out	tom ging essen
tom beat me	tom hat mich geschlagen
tom belched	tom rulpste
tom blinked	tom blinzelte
tom blinked	tom zwinkerte
tom blushed	tom wurde rot
tom came by	tom kam vorbei
tom came in	tom kam rein
tom can win	tom kann gewinnen
tom changed	tom hat sich verandert
tom changed	tom veranderte sich
tom cheated	tom hat betrogen
tom cheated	tom betrog
tom cheated	tom schummelte
tom cheated	tom hat geschummelt
tom cheered	tom jubelte
tom clapped	tom klatschte
tom coughed	tom hustete
tom decided	tom hat entschieden
tom drowned	tom ertrank
tom escaped	tom entkam
tom exhaled	tom atmete aus
tom fainted	tom wurde ohnmachtig
tom frowned	tom runzelte die stirn
tom frowned	tom blickte finster drein
tom gave in	tom gab auf
tom gave up	tom gab auf
tom gets it	tom versteht das
tom giggled	tom kicherte
tom gloated	tom freute sich hamisch
tom got mad	tom wurde bose
tom grinned	tom grinste
tom groaned	tom achzte
tom groaned	tom stohnte
tom had fun	tom hatte spa
tom has ocd	tom leidet unter zwangen
tom has ocd	tom leidet an einer zwangserkrankung
tom hurt me	tom hat mir weh getan
tom hurt me	tom hat mir wehgetan
tom inhaled	tom hat eingeatmet
tom is a dj	tom ist schallplattenunterhalter
tom is back	tom ist wieder da
tom is back	tom ist zuruck
tom is bald	tom hat eine glatze
tom is bald	tom ist kahl
tom is busy	tom ist beschaftigt
tom is busy	tom hat zu tun
tom is calm	tom ist ruhig
tom is cold	tom ist kalt
tom is cold	tom friert
tom is cool	tom ist ein hammertyp
tom is cool	tom ist cool
tom is cute	tom ist su
tom is done	tom ist fertig
tom is down	tom ist deprimiert
tom is evil	tom ist bose
tom is fair	tom ist fair
tom is fast	tom ist schnell
tom is fine	tom geht es gut
tom is full	tom ist satt
tom is glad	tom ist froh
tom is gone	tom ist weg
tom is good	tom ist brav
tom is here	tom ist da
tom is home	tom ist zu hause
tom is hurt	tom ist verletzt
tom is kind	tom ist gutig
tom is last	tom ist der letzte
tom is late	tom ist zu spat
tom is lazy	tom ist faul
tom is lost	tom hat sich verirrt
tom is loud	tom ist laut
tom is mean	tom ist gemein
tom is nice	tom ist nett
tom is nuts	tom hat einen dachschaden
tom is poor	tom ist arm
tom is rich	tom ist reich
tom is rude	tom ist unhoflich
tom is rude	tom ist ein rupel
tom is safe	tom ist in sicherheit
tom is sick	tom ist krank
tom is slim	tom ist schlank
tom is slow	tom hat eine lange leitung
tom is sure	tom ist sich sicher
tom is tall	tom ist gro
tom is thin	tom ist dunn
tom is tidy	tom ist ordentlich
tom is vain	tom ist eitel
tom is vain	tom ist aufgeblasen
tom is vain	tom ist eingebildet
tom is weak	tom ist schwach
tom is wise	tom ist weise
tom kneeled	tom kniete
tom kneeled	tom kniete sich hin
tom knew it	tom wusste es
tom knew it	tom kannte es
tom knew it	tom kannte ihn
tom knew it	tom kannte sie
tom laughed	tom lachte
tom listens	tom hort zu
tom made it	tom hat es geschafft
tom may die	tom konnte sterben
tom may win	tom kann gewinnen
tom noticed	tom hat es bemerkt
tom paid me	tom hat mich bezahlt
tom paid me	tom bezahlte mich
tom painted	tom malte
tom prepaid	tom zahlte im voraus
tom ran off	tom lief weg
tom ran off	tom ist weggelaufen
tom refused	tom lehnte ab
tom refused	tom hat abgelehnt
tom relaxed	tom entspannte sich
tom relaxed	tom hat sich entspannt
tom said no	tom sagte nein
tom saw her	tom sah sie
tom saw her	tom hat sie gesehen
tom saw him	tom sah ihn
tom saw him	tom hat ihn gesehen
tom saw you	tom sah dich
tom saw you	tom hat dich gesehen
tom sent me	tom hat mich geschickt
tom shot me	tom schoss auf mich
tom shouted	tom rief
tom slipped	tom rutschte aus
tom slipped	tom ist ausgerutscht
tom sneezed	tom nieste
tom stopped	tom hielt an
tom stopped	tom hat angehalten
tom sweated	tom schwitzte
tom sweated	tom hat geschwitzt
tom teaches	tom unterrichtet
tom told me	tom hat es mir gesagt
tom told us	tom hat es uns erzahlt
tom took it	tom nahm es
tom tripped	tom stolperte
tom tripped	tom ist gestolpert
tom vomited	tom hat sich ubergeben
tom was hot	tom war hei
tom was hot	tom war scharf
tom was hot	tom war angesagt
tom was mad	tom war auer sich
tom was old	tom war alt
tom was out	tom war ausgegangen
tom was sad	tom war betrubt
tom was sad	tom war traurig
tom was shy	tom war schuchtern
tom will go	tom wird gehen
tom will go	tom geht
tomll call	tom wird anrufen
tomll come	tom kommt
tomll help	tom wird helfen
tomll know	tom wird es wissen
tomll lose	tom wird verlieren
tomll quit	tom wird aussteigen
tomll quit	tom wird aufhoren
tomll stay	tom wird bleiben
tomll talk	tom wird reden
tomll wait	tom wird warten
toms alert	tom ist hellwach
toms alive	tom ist am leben
toms alive	tom lebt
toms alone	tom ist allein
toms angry	tom ist wutend
toms angry	tom ist verargert
toms awake	tom ist wach
toms bored	tom ist gelangweilt
toms crazy	tom ist bescheuert
toms drunk	tom ist betrunken
toms dying	tom liegt im sterben
toms flaky	tom ist unzuverlassig
toms funny	tom ist witzig
toms great	tom ist toll
toms happy	tom ist glucklich
toms lucky	tom hat gluck
toms lying	tom lugt
toms older	tom ist alter
toms pushy	tom ist unternehmungslustig
toms right	tom hat recht
toms right	tom hat recht
toms smart	tom ist klug
toms sorry	es tut tom leid
toms tipsy	tom hat einen im tee
toms tough	tom ist zah
toms upset	tom ist besturzt
toms weird	tom ist komisch
toms wrong	tom hat unrecht
toms young	tom ist jung
tom get up	tom aufstehen
trust in me	vertraue mir
try this on	probier den an
try this on	probier die an
try this on	probier das an
turn around	dreh um
turn around	dreh dich um
turn it off	drehe es zu
turn it off	mach das aus
turn it off	mach ihn aus
turn it off	mach sie aus
turn it off	mach es aus
turn on cnn	schalte mal cnn ein
vote for me	wahlt mich
vote for me	wahlen sie mich
vote for me	wahle mich
vote for me	gib mir deine stimme
wait for us	warte auf uns
wait for us	wartet auf uns
wait for us	warten sie auf uns
wake tom up	wecke tom
walk slowly	geh langsam
war is hell	krieg ist die holle
was i wrong	lag ich damit falsch
was it cold	war es kalt
was it good	war es gut
we all know	wir wissen es alle
we all work	wir arbeiten alle
we are here	wir sind hier
we are sick	wir sind krank
we ate eggs	wir haben eier gegessen
we broke up	wir haben schluss gemacht
we can meet	wir konnen uns treffen
we can talk	wir konnen sprechen
we can wait	wir konnen warten
we cant go	wir konnen nicht gehen
we found it	wir haben es gefunden
we found it	wir haben sie gefunden
we found it	wir haben ihn gefunden
we help tom	wir helfen tom
we know tom	wir kennen tom
we know him	wir kennen ihn
we know why	wir wissen warum
we know you	wir kennen dich
we like tom	wir mogen tom
we love tom	wir lieben tom
we miss tom	wir vermissen tom
we miss you	wir vermissen dich
we miss you	du fehlst uns
we must run	wir mussen rennen
we need tom	wir brauchen tom
we need you	wir brauchen dich
we need you	wir brauchen sie
we need you	wir brauchen euch
we promised	wir haben es versprochen
we remember	wir erinnern uns
we remember	wir erinnern uns daran
we sat down	wir setzten uns
we stole it	wir haben es gestohlen
we survived	wir haben uberlebt
we want tom	wir wollen tom
we want one	wir wollen eins
well be ok	wir werden okay sein
well check	wir werden es uberprufen
well dance	wir gehen tanzen
well do it	wir machen das
well drive	wir werden fahren
well fight	wir werden kampfen
well hurry	wir werden uns beeilen
well hurry	wir beeilen uns
well share	wir werden teilen
well shoot	wir werden schieen
well stand	wir werden stehen
well start	wir fangen an
well start	wir werden anfangen
were alone	wir sind allein
were armed	wir sind bewaffnet
were awake	wir sind wach
were bored	uns ist langweilig
were broke	wir sind pleite
were clean	wir sind sauber
were close	wir stehen uns nahe
were crazy	wir sind verruckt
were dizzy	uns ist schwindlig
were dying	wir sterben
were early	wir sind zeitig
were going	wir gehen
were happy	wir sind glucklich
were human	wir sind menschlich
were ready	wir sind bereit
were right	wir haben recht
were saved	wir sind gerettet
were sorry	es tut uns leid
were stuck	wir stecken fest
were tired	wir sind mude
were upset	wir sind verargert
were upset	wir sind besturzt
were young	wir sind jung
what a bore	wie langweilig
what a dump	was fur ein drecksloch
what a loss	was fur ein verlust
what a mess	was fur ein durcheinander
what a pity	wie schade
what a team	was fur ein team
what an ego	was fur ein ego
what is new	was gibts neues
whats good	was ist gut
whats next	was kommt als nachstes
whats that	was ist das fur ein ding
whats this	was ist das fur ein ding
whats this	was ist das hier
where is he	wo ist er
where is it	wo ist er
where is it	wo ist sie
where is it	wo ist es
wheres tom	wo ist tom
who are you	wer bist du
who are you	wer seid ihr
who cheated	wer hat geschummelt
who cheated	wer schummelte
who cheated	wer betrog
who cheated	wer hat betrogen
who cheered	wer hat gejubelt
who escaped	wer entkam
who escaped	wer ist entkommen
who hit tom	wer hat tom geschlagen
who hit you	wer hat dich geschlagen
who hit you	wer hat sie geschlagen
who hit you	wer hat euch geschlagen
who is next	wer ist als nachster an der reihe
who is that	wer ist das
who saw you	wer hat dich gesehen
who saw you	wer hat sie gesehen
who saw you	wer hat euch gesehen
who saw you	wer sah euch
who saw you	wer sah dich
who saw you	wer sah sie
who stopped	wer hielt an
who stopped	wer hat angehalten
wholl come	wer kommt
wholl cook	wer wird kochen
wholl cook	wer wird das essen zubereiten
whos dying	wer stirbt
whos dying	wer liegt im sterben
whos first	wer ist die nummer eins
whos going	wer geht
whos right	wer hat recht
whos there	wer da
whos there	wer ist da
whos tired	wer ist mude
why is that	wie kommt das
why is that	warum ist das so
why is this	woran liegt das
will he die	wird er sterben
wood floats	holz schwimmt
work slowly	arbeitet langsam
write to me	schreib mir
write to me	schreiben sie mir
write to me	schreibt mir
yes i know	ja ich wei
you are big	du bist gro
you can try	du kannst es versuchen
you can try	ihr konnt es versuchen
you can try	sie konnen es versuchen
you cheated	du hast gemogelt
you did lie	du hast doch gelogen
you keep it	das konnen sie ruhig behalten
you keep it	das konnt ihr ruhig behalten
you keep it	das kannst du ruhig behalten
you keep it	den kannst du ruhig behalten
you keep it	den konnen sie ruhig behalten
you keep it	den konnt ihr ruhig behalten
you keep it	die konnen sie ruhig behalten
you keep it	die kannst du ruhig behalten
you keep it	die konnt ihr ruhig behalten
you know me	sie kennen mich
you know me	du kennst mich
you made it	sie haben es geschafft
you made it	du hast es geschafft
you must go	du musst gehen
you must go	du musst hingehen
you need it	ihr braucht es
you need it	sie brauchen es
you need me	du brauchst mich
you need me	ihr braucht mich
you need me	sie brauchen mich
you need us	du brauchst uns
you need us	sie brauchen uns
you need us	ihr braucht uns
you said it	ja es ist wirklich so
you said it	ganz genau
you woke me	du hast mich geweckt
youre back	du bist zuruck
youre back	sie sind zuruck
youre back	ihr seid zuruck
youre cute	du bist su
youre fair	du bist fair
youre fine	du bist in ordnung
youre good	du bist brav
youre here	du bist hier
youre kind	du bist nett
youre late	du kommst spat
youre lost	sie haben sich verirrt
youre lost	du hast dich verirrt
youre lost	ihr habt euch verirrt
youre mean	du bist gemein
youre mine	du gehorst mir
youre next	du bist der nachste
youre next	du bist die nachste
youre nuts	du bist verruckt
youre nuts	ihr seid verruckt
youre nuts	mattscheibe
youre sick	du bist krank
youre thin	du bist dunn
youre thin	sie sind dunn
youre thin	ihr seid dunn
youre tidy	du bist ordentlich
youre tidy	sie sind ordentlich
youre tidy	ihr seid ordentlich
youre ugly	ihr seid hasslich
youre vain	ihr seid eitel
youre vain	du bist aufgeblasen
youre vain	sie sind eingebildet
youre weak	du bist schwach
youre weak	ihr seid schwach
youre weak	sie sind schwach
youre wise	du bist weise
youre wise	ihr seid weise
youre wise	sie sind weise
abandon ship	alle mann von bord
abandon ship	alle mann von bord
all is quiet	alles ist ruhig
am i correct	habe ich recht
am i in love	bin ich verliebt
am i invited	bin ich eingeladen
anybody here	ist hier jemand
anybody home	ist jemand zu hause
anybody hurt	ist jemand verletzt
anything new	gibts was neues
anything new	gibts was neues
anything new	gibt es etwas neues
are we alone	sind wir allein
are we alone	sind wir unter uns
are we broke	sind wir pleite
are we ready	sind wir so weit
are you bald	hast du eine glatze
are you busy	bist du beschaftigt
are you busy	sind sie beschaftigt
are you busy	hast du zu tun
are you busy	habt ihr zu tun
are you busy	seid ihr beschaftigt
are you busy	haben sie zu tun
are you cops	seid ihr von der polizei
are you dead	bist du tot
are you deaf	bist du taub
are you done	sind sie fertig
are you done	seid ihr fertig
are you fair	bist du gerecht
are you free	bist du beschaftigt
are you free	bist du frei
are you here	bist du da
are you here	bist du hier
are you here	sind sie hier
are you home	bist du zu hause
are you hurt	bist du verletzt
are you hurt	haben sie sich verletzt
are you hurt	haben sie sich wehgetan
are you hurt	hast du dir wehgetan
are you lost	haben sie sich verlaufen
are you lost	hast du dich verlaufen
are you lost	habt ihr euch verlaufen
are you okay	bist du okay
are you rich	bist du reich
are you sick	seid ihr krank
are you sick	bist du krank
are you sure	bist du sicher
are you sure	sind sie sicher
are you tall	bist du gro
are you tidy	bist du ordentlich
are you well	gehts dir gut
are you well	geht es dir gut
ask mary out	fuhre maria aus
ask mary out	bitte maria mit dir auszugehen
be attentive	seid aufmerksam
be objective	sei objektiv
be objective	seid objektiv
be objective	seien sie objektiv
be realistic	sei realistisch
beef please	rindfleisch bitte
boil one egg	kocht ein ei
boil one egg	koche ein ei
boil one egg	kochen sie ein ei
bring backup	hol verstarkung
bring him in	bringe ihn herein
bring him in	hol ihn herein
call me back	ruf mich zuruck
call the fbi	rufe das fbi
call the fbi	ruf das fbi an
can i go now	kann ich jetzt gehen
can i try it	darf ich es versuchen
can tom walk	kann tom gehen
can you come	kannst du kommen
can you come	konnt ihr kommen
can you come	konnen sie kommen
can you cook	konnen sie kochen
can you help	kannst du helfen
can you help	konnen sie helfen
can you help	konnt ihr helfen
can you move	konnen sie sich bewegen
can you read	kannst du lesen
can you read	konnen sie lesen
can you read	konnt ihr lesen
can you swim	kannst du schwimmen
can you swim	konnen sie schwimmen
can you swim	konnt ihr schwimmen
can you walk	kannst du gehen
can you walk	konnen sie gehen
come and see	komm und sieh
come at once	kommen sie sofort hierher
come at once	kommt sofort hierher
come at once	komm sofort hierher
come back in	komm wieder rein
come back in	kommt wieder rein
come back in	kommen sie wieder herein
come forward	melde dich
come forward	tritt vor
come forward	meldet euch
come forward	tretet vor
come forward	melden sie sich
come forward	treten sie vor
come help me	komm und hilf mir
come help me	bitte kommen sie mir helfen
come help me	kommt mir mal helfen
come in tom	komm rein tom
come in tom	komm herein tom
come in tom	komm rein tom
come on down	komm runter
come on home	komm nach hause
come on tom	komm schon tom
come outside	komm nach drauen
come quickly	komm schnell
come quickly	kommen sie schnell
come quickly	komm schnell
come quickly	kommt schnell
come quickly	kommen sie schnell
come up here	komm herauf
come with me	kommt mit
come with me	komm mit
come with me	komm mit mir
come with me	komm mit mir
come with us	komm mit uns
count to ten	zahl bis zehn
cut that out	hor auf damit
cut that out	hor auf
deal with it	kummere dich drum
deal with it	kummern sie sich drum
describe tom	beschreibe tom
did tom come	ist tom gekommen
did tom fall	ist tom gefallen
did tom help	hat tom geholfen
did tom know	hat tom es gewusst
did tom mind	hatte tom etwas einzuwenden
did tom pray	hat tom gebetet
did tom sing	hat tom gesungen
did tom stay	ist tom geblieben
did tom swim	ist tom geschwommen
did tom vote	hat tom gewahlt
did you call	hast du gerufen
did you help	hast du geholfen
did you sign	hast du unterschrieben
did you sing	hast du gesungen
did you vote	hast du gewahlt
did you vote	haben sie gewahlt
do i look ok	seh ich okay aus
do i look ok	seh ich ok aus
do it monday	mach es am montag
do it anyway	machs trotzdem
do it anyway	tus trotzdem
do it for me	tus fur mich
do it for me	tun sies fur mich
do they know	wissen sie das
do you agree	bist du einverstanden
do you drink	trinken sie
do you smoke	rauchen sie
do you smoke	raucht ihr
do you smoke	rauchst du
do you teach	unterrichtest du
do you teach	lehrst du
do you teach	unterrichten sie
do your best	gib dein bestes
do your best	gebt euer bestes
do your best	geben sie ihr bestes
do your best	gib dein bestes
do your best	geben sie ihr bestes
do your duty	tu deine pflicht
does it hurt	tuts weh
does it show	merkt man es
does it work	klappt das
does it work	funktionierts
does it work	klappt es
dont ask me	frag mich nicht
dont be sad	sei nicht traurig
dont be sad	grame dich nicht
dont be shy	sei nicht so schuchtern
dont bug me	nerv mich nicht
dont bug me	geh mir nicht auf die nerven
dont forget	vergiss es nicht
dont forget	vergessen sie es nicht
dont get up	steh nicht auf
dont go yet	geh noch nicht
dont go yet	geht noch nicht
dont go yet	gehen sie noch nicht
dont let go	lass nicht los
dont scream	schrei nicht
dont scream	schreien sie nicht
dont scream	schreit nicht
drive faster	fahr schneller
drive faster	fahren sie schneller
drive safely	fahr sicher
drive safely	fahren sie vorsichtig
drive slowly	fahre langsam
drop the gun	lassen sie die waffe fallen
drop the gun	lass die waffe fallen
easy does it	vorsicht ist die mutter der porzellankiste
easy does it	immer sachte
examine them	untersuch sie
examine this	untersuchen sie das
fish please	fisch bitte
food is food	essen ist essen
get my rifle	hol mein gewehr
get my rifle	holen sie mein gewehr
get my rifle	holt mein gewehr
get the book	hol das buch
get upstairs	geh die treppe hoch
ghosts exist	geister existieren
give it back	gib es zuruck
give it back	geben sie es zuruck
give me half	gib mir die halfte
give me half	geben sie mir die halfte
give me half	gebt mir die halfte
give me that	gib mir das
give me time	gib mir zeit
go around it	geh drumrum
go away tom	geh weg tom
go there now	geh da jetzt hin
go to school	geh in die schule
good evening	guten abend
good for you	schon fur dich
good for you	schon fur euch
good for you	schon fur sie
grab my hand	nimm meine hand
grow up tom	werde endlich erwachsen tom
hand it over	handige es aus
happy easter	frohe ostern
happy easter	frohliche ostern
has tom come	ist tom gekommen
has tom gone	ist tom gegangen
has tom quit	hat tom aufgehort
have a donut	nimm dir einen berliner
have a drink	trinken sie etwas
have a snack	nimm dir einen imbiss
have a taste	koste mal
have another	nimm noch eins
have another	nimm noch eine
have another	nimm noch einen
have another	nehmen sie noch eins
have another	nehmen sie noch eine
have another	nehmen sie noch einen
have courage	sei mutig
have courage	nur mut
he avoids me	er meidet mich
he avoids me	er schneidet mich
he can do it	er schafft das
he could die	er konnte sterben
he denied it	er stritt es ab
